0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.757213711738586426e-01,9.691728591918945312e+00,-7.278373241424560547e-01
8.236053586006164551e-01,9.682151794433593750e+00,-6.895300745964050293e-01
6.991068720817565918e-01,9.682151794433593750e+00,-7.374141216278076172e-01
6.703764796257019043e-01,9.672574996948242188e+00,-9.193734526634216309e-01
5.554547905921936035e-01,9.710882186889648438e+00,-9.672574996948242188e-01
5.554547905921936035e-01,9.701305389404296875e+00,-1.034295082092285156e+00
8.236053586006164551e-01,9.682151794433593750e+00,-8.714894056320190430e-01
8.427590131759643555e-01,9.672574996948242188e+00,-7.948749661445617676e-01
8.044517636299133301e-01,9.672574996948242188e+00,-7.948749661445617676e-01
7.948749661445617676e-01,9.672574996948242188e+00,-8.810662031173706055e-01
8.140285611152648926e-01,9.701305389404296875e+00,-9.097966551780700684e-01
6.895300745964050293e-01,9.691728591918945312e+00,-9.864110946655273438e-01
7.278373241424560547e-01,9.672574996948242188e+00,-8.140285611152648926e-01
7.278373241424560547e-01,9.662998199462890625e+00,-9.193734526634216309e-01
6.607996821403503418e-01,9.701305389404296875e+00,-9.768342971801757812e-01
8.427590131759643555e-01,9.701305389404296875e+00,-8.331822156906127930e-01
6.799532771110534668e-01,9.701305389404296875e+00,-9.576807022094726562e-01
6.799532771110534668e-01,9.710882186889648438e+00,-8.810662031173706055e-01
7.374141216278076172e-01,9.682151794433593750e+00,-9.481038451194763184e-01
7.757213711738586426e-01,9.682151794433593750e+00,-8.906430602073669434e-01
7.948749661445617676e-01,9.682151794433593750e+00,-9.672574996948242188e-01
7.661445140838623047e-01,9.701305389404296875e+00,-9.672574996948242188e-01
7.469909191131591797e-01,9.682151794433593750e+00,-9.959878921508789062e-01
7.086837291717529297e-01,9.672574996948242188e+00,-9.097966551780700684e-01
6.799532771110534668e-01,9.701305389404296875e+00,-1.005564689636230469e+00
7.948749661445617676e-01,9.691728591918945312e+00,-8.619126081466674805e-01
8.236053586006164551e-01,9.701305389404296875e+00,-9.385270476341247559e-01
7.182605266571044922e-01,9.691728591918945312e+00,-8.619126081466674805e-01
7.661445140838623047e-01,9.682151794433593750e+00,-8.523358106613159180e-01
6.799532771110534668e-01,9.682151794433593750e+00,-8.331822156906127930e-01
7.086837291717529297e-01,9.672574996948242188e+00,-8.523358106613159180e-01
7.374141216278076172e-01,9.691728591918945312e+00,-9.864110946655273438e-01
6.416460275650024414e-01,9.710882186889648438e+00,-9.864110946655273438e-01
7.469909191131591797e-01,9.682151794433593750e+00,-9.193734526634216309e-01
7.469909191131591797e-01,9.701305389404296875e+00,-8.236053586006164551e-01
6.607996821403503418e-01,9.691728591918945312e+00,-9.097966551780700684e-01
6.703764796257019043e-01,9.662998199462890625e+00,-8.714894056320190430e-01
7.565677165985107422e-01,9.662998199462890625e+00,-7.852981686592102051e-01
